id,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
001519c8,0.99909765,0.03556681,0.00022378478,0.0006726239,0.008566592,-0.0058236234,-0.0019639106,0.007893847,-0.00056187797,-0.013807005,-0.00029015736,-0.0051627187,0.0015568779,0.0013120685,-0.00032050195,-0.00022895713,-0.0003453877,0.0014774513,-0.0025646177,0.0003256756,0.0007937392,0.00060626736,-6.319862e-05,-9.9961595e-05,0.0006368514,0.00082903786,0.0002987184,-2.700628e-05,0.0010540939,-0.0034974532,-0.0031316068,0.002724112,0.0039624823,-0.0008456813,0.0030989223,0.003760808,0.0033716168,0.0011201719,0.0016030594,-0.0023639963,0.0018948002,0.0005702329,0.0007892087,-0.0002740631,0.00014885009,-9.843102e-05,0.0014221618,-0.001946651,0.00065708556,-0.0020752423,-0.0005980828,0.0011017532,-0.0018085028,0.00016221801,-0.00035180728,-0.00016136911,-6.530788e-05,-4.8290713e-05,-0.0007080615,-0.0001873923,-1.0062471e-05,1.6696336e-05,-0.00014664019,7.532156e-05
0022f953,0.9850478,-0.15396835,0.033318464,0.003836285,-0.0005015625,0.026684776,-0.014535277,0.017382532,-0.0036260867,0.010779343,-0.010523309,0.030484745,0.0006925432,-0.012536212,0.0064005656,-0.007304196,-0.0008556385,0.013200736,0.001863227,0.009643161,-0.006917611,-0.012340288,0.006835284,-0.003178274,-0.0013812039,-0.012977358,-0.004069027,-0.0046456354,0.0037142003,0.001323978,0.004140928,-0.0022576712,-0.006032151,-0.0068523246,-0.001735133,0.0038968336,0.006629937,0.0013665264,-0.009365815,0.00871534,0.013123453,0.0025380086,-0.0032412335,0.0037183138,-0.005272233,-0.004947658,0.0025881086,0.0024798648,0.0035967724,-0.0001701579,0.00026564914,-0.0046167094,-0.0027728484,0.0040422864,-0.0005194822,-0.004155532,0.0070494195,0.0025454243,-0.007031694,-0.0076171923,0.00027869432,-0.0010810903,-0.0031517975,0.0016984079
0042269b,0.99354994,0.111421086,-0.009531393,-0.0026051817,-0.0082979705,-0.0026687142,-0.011408903,0.0032178948,-0.0009328371,-0.0038410355,-0.002106722,-0.0011796396,0.00335987,0.0009314235,0.00015273219,0.0011905238,-0.001352566,0.0018744424,-0.000384971,-0.00052150676,0.0021034789,0.0028980747,-0.0028148247,0.0032079606,-0.0024383264,-0.0018032627,-0.0012610591,0.0012298966,-0.0008607575,0.0012690778,0.00045231704,0.0010535539,-7.8826466e-05,0.00049246557,-0.0011567414,0.00079458323,0.00015101291,-0.00014165584,0.00021006183,0.00028548634,0.00032879875,-0.00017661059,0.00070741086,-0.0003978656,0.001061035,-5.197548e-05,-0.0007121371,0.0015551945,0.0002084876,0.00018826395,-0.0010314537,-0.0004158089,-0.0017287554,-0.00053663563,0.0016087568,0.00045662234,0.0006637542,-0.0009324137,-0.00019216587,-0.0006291931,8.9583205e-05,-0.0016327207,0.00013427927,0.0006457723
0059420b,0.9993502,-0.011814351,-0.01277956,-0.0015489093,0.014427688,-0.007562874,0.012537231,-0.013619548,-0.001108476,0.0015403632,-0.0035512506,-0.004801223,0.0007280152,-0.0016284065,0.0003333891,0.0028201865,-0.004283438,-0.0040101553,0.0004459064,-0.0019151279,-0.0015238833,-0.0049876,0.0010744944,0.0009658111,0.0010011647,5.182491e-05,-0.0003955006,-0.0027189383,-0.0018602485,-0.0028838618,-0.0011088423,-0.004761403,-0.00017676223,-0.00016277292,-0.0010156544,0.0013530762,-0.0019738858,0.00017535743,-0.00040197704,0.00031181076,-0.00022723587,6.171562e-05,0.0004904158,0.0012626335,-0.0007430063,-0.0010819501,-5.1158313e-06,-0.0029808641,-0.00045286393,-0.0004796346,-0.00321969,-0.0007278329,-0.0007690631,-0.00078467274,0.0045823143,0.002365722,0.0009857725,-0.0009067805,-0.00018752943,-0.00012045779,0.00020999767,-0.002305427,-0.00012895014,0.0014999823
0075873a,0.9969979,-0.021809852,0.057497352,0.00790789,-0.004424655,0.02986395,0.0010706956,0.015622619,-9.6818934e-05,0.0071868296,0.014882658,-0.0110982675,-0.0041970387,0.0053904653,-0.0011666749,-0.0019650967,0.0027420376,-0.001270791,0.0024324565,0.0035290115,0.0037116446,0.004996314,-0.004414194,-0.0012055018,-0.002880255,-0.00021621869,-0.00053597876,-0.0017647389,0.004955787,0.0051965225,-0.001191021,-0.004399416,-0.0040427917,-0.0022974252,-0.00044446083,0.00045811766,-0.000938419,0.00024054863,-0.0064802635,0.0030394592,0.0010154078,-0.0030446013,-0.00039208695,-0.002506854,0.0021859112,0.0010823758,-0.0015830467,0.0035024842,-0.00060569914,-0.002599939,-0.0055777864,-0.0021488725,0.004184302,-0.00017692079,-0.0025814811,-0.00156502,-0.0033682554,-0.001458165,0.0005882597,-0.002817118,0.0026839355,-0.0010882752,0.0008955853,-0.00050665584
0081af50,0.9912534,-0.12698404,-0.01616782,-0.0035511064,0.0064265784,-0.0049601328,-0.015115014,-0.009831883,-0.004303162,-0.0076366714,-0.0051487354,-0.0034946236,0.00035097447,-0.0044464427,-0.0006148807,0.0057583353,-0.0028995695,-0.003368341,0.0010263236,-0.0013110535,-0.0011098237,-0.0050775595,0.0062944493,-0.00028651065,0.0027227483,0.0040756552,0.0006562844,-0.0028308367,-0.0020712642,-6.570547e-05,0.0044191745,-0.00023564113,-0.0002198938,0.0016900382,0.0009944156,0.0074874796,-0.0048271185,0.0037103884,0.0010453775,0.003090884,-0.0019521111,-0.00031879087,0.001991996,0.00037533315,-0.0005301924,-0.0007517812,-0.00015140009,0.0009642595,-0.0004353226,-0.00060322264,-0.0014182251,-2.727273e-05,0.0015218575,-0.00040279026,-0.00038563547,0.00047849992,-0.00030689282,0.0004454418,-0.00086082116,0.0020631524,-0.00024832494,0.0008664113,-0.0010686415,0.0015338138
0093f095,0.999505,0.016198777,-0.009129861,-0.004558946,-0.01793927,-0.008348379,6.724251e-05,-0.001818368,-0.0010216191,-0.009391577,0.0039325017,-0.001182577,3.6415455e-05,0.0018351221,-0.0027610606,0.0034361046,0.0011396748,-0.0010346025,-0.0029033744,0.00093572953,-0.0009656743,0.0016953094,-0.003983459,-0.00018764171,-0.00027567812,-0.0011269541,-0.00034441816,0.0014566598,-0.0019494478,0.00021778984,0.0010337501,0.002963003,0.00024813818,0.0005353964,-0.00015055385,-0.0014701161,-0.0027107724,-0.00056960166,-0.0002599187,0.0018324938,0.0013188996,0.0006363341,0.00057964114,0.0001742325,0.0001453104,-0.0002610735,-0.00016171591,-0.0015439607,-0.00048898975,-0.00079350604,-0.00043111207,-0.0012006967,7.607069e-06,-0.00075459137,-0.00060213613,-0.00017915407,0.00027795622,0.00053006946,0.00080083095,3.3392473e-05,-0.00048125838,0.0007435206,-0.00035957614,0.000997268
009e23ab,0.9990136,-0.021401586,0.0075121038,-0.0029779514,-0.027985983,0.0022467875,-0.002653152,0.015020983,-0.00619317,0.0031375485,-0.0073947296,-0.0011425111,0.0041331802,-0.0041328464,0.0023867327,-0.004419156,0.0026277918,-0.0005352496,0.000118284064,-0.0016549671,0.0031095715,0.0033113686,-0.0022466388,-0.001094655,-0.0008729776,-0.0005990435,-0.0008474718,-0.000115405644,-0.00021660663,0.002018922,0.0011622863,0.0051240013,0.00013468954,0.00055168814,-0.0006817835,-0.0007506179,0.00012018134,-0.000736774,-0.0005588375,0.00097587635,-9.5228796e-05,0.00017329078,4.1607538e-05,9.486873e-06,0.0011383599,-0.0013362409,0.00010938436,0.000559853,0.0010476188,-0.001056769,-0.0042214566,-0.00032083888,-0.0024384626,0.0002719257,0.0022702084,0.00041862196,0.0003001152,-0.0024378009,0.0010529183,-0.0019414368,0.0010325641,-0.0016104934,0.00087865035,0.0011566596
00e048f1,0.99876666,8.0398204e-05,-0.0051219384,-0.004826893,-0.022983005,-0.023317715,0.024443867,0.0022829461,0.0035635082,-0.024003139,-0.002982966,-0.0036875892,0.0062841,-0.0015083067,0.000115044444,0.0017593912,0.0014272098,0.0010396653,-0.004447944,-0.00019594975,0.0016784142,3.709603e-05,0.004347455,-0.0008512639,6.5718996e-05,1.0612127e-05,3.878487e-05,0.00041701438,0.0015941643,0.0013285831,-0.0015212371,-1.585235e-05,0.00010790948,-0.00049807114,-0.00018182109,-0.00094468065,0.0018238892,0.0003543756,0.0014785533,-0.0012068836,-3.9286006e-06,3.4349054e-05,0.00036868086,-0.000107700755,-0.0003634194,-0.00067894673,0.0003783528,-0.0014431939,-6.5206295e-05,0.00022948168,0.00032620356,-0.0007877814,0.0008188753,0.00043397758,-0.000735722,0.0008207453,-0.00023654538,0.0006069267,0.0004256833,0.00033002952,6.201973e-05,0.0001813199,0.0007829049,-0.0010817923
00e1f05a,0.9993686,-0.016694114,0.013747986,0.002380736,0.012531476,0.0073451614,-0.007917744,-0.01395989,7.25739e-05,0.002843216,0.00050457683,-0.0026061474,-0.002495685,0.004074176,-0.0027474957,0.0019149332,0.00012426346,0.00022140337,-0.0029215482,0.0036037066,-0.0014954397,-0.0036138762,0.003146241,3.100451e-05,0.0009852881,-0.0029379737,-0.0018481632,-0.0007752274,-0.0014890516,-0.001687791,0.0010799821,0.0003831113,0.0006065053,0.0008939283,0.0020535423,-0.0019082568,-7.359106e-05,-0.0019110085,0.0013480688,-0.00092311244,0.00023691125,-0.0009833403,-0.0027502703,-0.0006029747,0.0005177042,-0.0005676409,-0.002949145,-0.0011898559,-0.002967718,0.00033892388,0.0024570057,-0.003860208,0.0019088612,0.001430608,-0.00045618138,-0.00022265065,-0.00037095667,0.00015309971,0.00036064917,0.0014035803,0.0005498441,-0.00014363974,-0.0006436103,0.00014732852
