id,00,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
001519c8,0.99808216,0.05276903,0.028627034,-0.005060015,-0.004473582,-0.0040090745,-8.868162e-05,0.0022579648,-9.919436e-06,0.00060055405,-0.0006906508,9.402844e-06,-8.421402e-05,-0.0004724539,0.0014204055,-0.0019309694,0.008563747,0.0021284227,-0.00061529706,1.30093595e-05,-0.0017695291,-0.0005457836,-5.3463322e-05,0.0002201371,3.0530082e-05,-0.00020572057,0.0003480567,-0.00037044365,-0.00030764245,0.004844082,-0.0030206733,-0.0008875766,-0.00041457772,0.00041143692,5.903647e-05,0.0004585235,-0.00033115118,-0.00024931895,-0.00033792522,0.00020220185,7.669858e-05,0.0006756169,-0.00041978026,1.5163664e-05,0.0010741832,0.00016416231,3.5313602e-05,-0.0007532687,0.00026632613,0.0011508224,-0.0003881095,-0.00021086635,0.00037739196,0.00092226506,-0.00027936333,-0.0044642375,0.00071997097,0.0007292995,-0.00086431566,-0.0004757282,0.0005634505,-0.0002792329,-0.0007394551,0.00070055475
0022f953,0.999664,-0.014712888,0.020407785,-0.0030148611,-0.0013469128,-0.001118797,0.0039887177,0.00039637808,0.0011372621,0.0012427759,0.0010533097,-0.00038105584,0.0009480006,-0.00055582053,0.0007453087,-0.00054935965,-0.00075622817,7.858871e-05,-0.0012399278,3.1491392e-05,0.00020531933,0.0005698539,0.000809224,-0.0004692832,0.0003082184,0.00030276176,-0.00019363829,0.00020059588,3.59952e-05,6.667186e-05,-6.2589366e-05,-9.6159405e-05,-0.00016603048,-0.0001779831,-3.0081503e-05,2.5789033e-05,7.884898e-05,0.00021276066,3.1153581e-06,0.00016084882,-7.0092945e-05,0.00024159225,0.00021946938,0.000102211285,8.6834276e-05,-0.00013182715,-4.664067e-06,-4.5545017e-05,2.907781e-05,3.749575e-05,-3.697524e-05,1.984194e-05,1.28332285e-05,7.610978e-05,5.0618887e-06,-2.6997239e-05,-3.9057297e-05,5.3321928e-05,-3.9023736e-05,-3.519309e-05,2.1952223e-05,4.996211e-05,-8.921535e-05,4.950409e-05
0042269b,0.99986047,-0.0053778607,-0.015343382,-0.0005629374,-0.0022091933,-0.0014408852,-0.00048661904,-0.0008515951,-0.0019268054,-0.00092804414,0.0009974336,0.0002652831,0.00041220925,-0.00033333266,0.00014229247,-0.0001320054,-0.00015423854,-2.4730713e-05,-3.638263e-05,-0.00041735516,8.3183644e-05,-0.00039427463,0.0003399515,-2.6294369e-05,-0.00031003912,8.3867664e-05,2.265811e-05,5.1077106e-05,2.166236e-06,2.2004377e-05,-5.5388733e-05,1.4050771e-05,-1.4251514e-05,-1.9120518e-05,5.321468e-05,1.2796607e-05,-2.9974219e-05,-5.727554e-05,1.409426e-05,-2.4813547e-05,2.2493032e-06,-5.067024e-05,-5.768302e-05,-2.9870569e-05,-2.883183e-05,1.376169e-05,4.7674266e-06,4.7073544e-07,-5.186588e-06,5.3829976e-06,1.9621453e-05,-2.1559783e-05,-2.7067517e-05,1.0310888e-05,-2.2197804e-05,1.07514825e-05,2.1691256e-05,-3.2187534e-05,-1.9202122e-05,9.492882e-06,-5.6937793e-06,-1.8703191e-05,7.973176e-06,-4.9359583e-06
0059420b,0.9984706,-0.030148417,0.03714925,0.004154852,0.023418434,-0.009865126,-0.00054950203,0.001122634,0.0014093218,0.0029264207,-0.00044296647,-0.00054522685,-0.00069653656,0.0030230107,-0.0011051378,0.0011781874,-1.777876e-05,0.0028332327,0.0012645227,-0.00017639164,-0.0002011804,-0.0019219475,0.00025994587,0.0006053671,0.0026939022,-0.0026598629,0.0012573266,0.0039635776,-0.0011637965,-0.0005230903,-3.3461412e-05,0.0002578788,-0.0018483013,-0.0005306666,-0.00067405455,0.0003493062,0.0004695429,-0.00040299207,-0.00028421104,0.0009412735,-0.002870279,-0.0017764423,0.00020874478,-0.00062240905,0.0009700028,0.0003841649,0.0024967,-5.2831634e-05,2.5278969e-05,0.00020418785,0.00043829455,0.000115654104,0.00011985024,-0.00026305343,-0.0010687219,-0.00023539494,-9.955764e-06,-0.00084954366,0.0013671067,-0.0006164634,0.000596323,-6.8631552e-06,0.0003441579,-0.00027293235
0075873a,0.99028367,0.13238576,-0.04237653,-0.0019991423,0.0024708817,0.00060820545,-0.00014624717,-0.0009669068,0.0007633361,0.00053140515,-0.0004650102,0.0012897094,-0.00088798604,0.00027732764,0.0004060995,0.0004511021,-7.981971e-05,0.00013965703,-0.00044374014,-0.00046273155,0.00016462762,-4.3143267e-05,-0.00057831744,2.2998263e-05,-0.00017774156,-6.4555534e-05,-3.2543532e-05,7.134084e-05,6.35824e-05,-6.9657217e-06,2.7545137e-05,-8.117855e-06,3.5334364e-05,-3.2074156e-06,-3.3480264e-05,-1.0933354e-05,-4.084511e-05,-2.2162492e-05,-8.651933e-06,-1.8065524e-05,2.2826898e-05,-2.6655593e-05,-2.861331e-05,-3.001116e-06,-1.5832773e-05,-4.0931177e-06,-5.263128e-06,4.273869e-06,-7.845832e-06,-1.108264e-06,1.1581608e-05,4.6523528e-05,1.4083406e-05,-4.2426655e-05,7.074781e-05,-5.553996e-06,3.796834e-05,3.4687506e-05,3.4575292e-05,-3.3991815e-05,4.123148e-06,-1.1598773e-05,3.3689062e-06,8.174258e-06
0081af50,0.9969224,0.013892146,0.07651495,0.000633611,0.0046549537,0.0057200794,-0.00041390807,-0.002106143,0.0048871664,0.0003120594,-0.0006735449,-0.0021791009,-0.0013011531,-7.965644e-05,0.0005848844,0.00088277267,0.0002918638,-0.00023954475,0.0007262395,-0.0015702158,-6.738781e-05,-0.00062236656,0.0016393149,-0.00013609564,-0.0005467531,9.141956e-05,0.00018073482,5.0387735e-06,1.8511664e-05,4.672104e-06,6.806129e-06,-2.619444e-05,7.070162e-05,-3.7637492e-05,0.000109322136,-2.873006e-05,-5.948147e-05,-5.69062e-05,-5.4650194e-05,-5.8772795e-05,-0.000103770806,-4.727749e-05,-0.00015454537,-3.302786e-05,-6.7818226e-05,-4.6706096e-05,2.576139e-06,3.207737e-05,8.168002e-05,-7.392181e-06,-6.240885e-05,-3.060609e-05,-5.230349e-05,-9.9369994e-05,0.00014680167,-8.329194e-06,6.0468705e-05,0.00010107501,5.4061133e-05,-4.5010845e-05,6.824683e-06,-1.1128474e-06,-2.6478563e-05,4.1904525e-05
0093f095,0.9985796,-0.049914204,0.0006120244,0.017285552,-0.005842686,0.0018471834,-0.00027521604,0.0011027503,0.0010799076,0.00021913703,0.00027375203,0.0017518701,-0.0004857303,0.00016464326,-0.00014064235,-0.0005705512,-4.673343e-05,-0.0002498791,-0.00014480385,-0.0009673929,7.425623e-05,0.0014626464,-0.00019218086,-0.00033333158,0.00091356906,0.00012025763,-0.0001914,-3.0403926e-05,-2.9306418e-06,-2.067276e-05,-6.4589776e-06,-3.4787115e-06,-4.5518995e-05,-1.1481159e-05,9.570182e-06,2.2395672e-05,2.244132e-05,4.9893675e-05,-3.0153926e-05,0.00018306043,9.033988e-06,0.00019991343,0.00017905913,6.547436e-05,2.4951052e-05,-0.00010586512,2.8938022e-05,1.6107745e-06,1.9730578e-05,2.409033e-05,5.738354e-05,1.0219991e-05,2.136976e-05,3.342771e-06,0.00010558833,-3.623196e-06,-5.521523e-06,7.610088e-05,6.352477e-05,2.558762e-06,3.8489986e-07,-3.21408e-05,7.5572e-05,-6.9006506e-05
009e23ab,0.9997523,-0.020137768,-0.0086786775,-0.00071932113,0.001939643,6.534609e-05,-0.0005833544,-0.0019955563,0.0008643942,-0.001393042,-0.0013456437,0.00061673205,-0.00056402624,2.2443397e-05,3.317637e-05,5.3496668e-05,-0.00016718479,0.00015939526,-0.00051811914,0.00036689203,-0.000115936695,-2.2315755e-05,0.00043253263,-2.1319831e-05,6.6061302e-06,0.00010796218,-6.69684e-05,-3.082411e-06,1.9337025e-05,3.4745117e-06,8.022601e-07,3.11963e-05,-2.1355905e-05,2.118729e-05,-2.7641927e-05,-1.0085892e-05,0.00011833354,0.00012971397,-6.8305344e-05,6.9558e-05,-3.866308e-05,0.0002037749,0.00016692528,5.407125e-05,5.3821048e-05,-2.4682784e-05,2.9535593e-05,-3.2341646e-05,2.6282401e-05,7.61791e-06,-2.447136e-05,4.716792e-06,2.5217842e-05,2.4531506e-05,-1.6943404e-05,-7.45154e-06,-5.606354e-06,6.122391e-06,-1.2961098e-05,-1.7478864e-06,-9.768945e-06,-3.3610168e-06,-1.1453324e-05,-2.2729616e-06
00e048f1,0.9989241,-0.044829123,-0.008807129,0.000273307,0.004096033,-0.006299235,-0.0008192923,-0.0006680362,-0.00069267716,0.0005821533,-0.0019697694,0.0002446503,0.0003441064,-0.0002009454,-0.0001499749,1.5310558e-05,-1.8404537e-05,-0.00027711692,0.00036340018,-0.00029605016,-4.3040196e-05,0.00042350122,9.096138e-05,-0.0001347087,0.00037517346,3.807117e-05,-6.635141e-05,-4.7153702e-05,3.516464e-05,1.336064e-07,-3.787142e-05,4.6784546e-05,-1.5720474e-05,2.3761565e-07,-2.2101496e-05,-8.659655e-06,4.4904828e-05,5.0630428e-05,-4.5249548e-05,4.276001e-05,3.3159108e-06,8.1476515e-05,8.199618e-05,2.8630122e-05,2.3212848e-05,-3.023598e-05,2.661374e-05,3.4686144e-07,-7.815859e-06,1.1745604e-05,5.4787133e-06,1.5581442e-06,1.5261487e-05,-5.8858377e-06,-4.8112215e-05,8.155789e-06,-4.5434583e-05,-1.0348843e-05,-1.2505316e-05,4.3008138e-05,-1.7339752e-06,-6.676386e-06,3.9701674e-05,-5.3383403e-05
00e1f05a,0.99609846,0.08784536,0.0030024687,-0.004210734,-0.0037492984,0.005216969,8.609745e-05,0.0014930759,0.00047488857,-0.00047009304,0.0008075834,-9.241538e-05,-0.00013467233,-0.00012995474,-9.766998e-05,-0.0003198758,-4.863947e-05,2.5219326e-05,-0.00014044433,-0.00018033567,5.6069573e-05,-0.0001227101,-0.00019539043,6.1951214e-05,-0.00023290332,-7.391721e-05,2.52164e-05,3.1152635e-05,1.35656155e-05,-2.9611679e-06,-1.1377108e-05,1.4008875e-06,1.5082502e-05,-1.5596579e-05,-5.282271e-06,1.5811186e-07,-6.5472275e-05,-5.3465606e-05,1.868311e-05,-3.430706e-05,1.9169924e-07,-4.1729043e-05,-5.6784153e-05,-3.60239e-05,-3.2560638e-05,2.0703796e-05,1.1019947e-06,-7.617444e-06,-1.2811065e-05,9.737382e-06,2.331878e-05,1.3804184e-05,-2.2202661e-05,2.6133495e-05,-3.6120447e-05,1.0890456e-05,5.8485307e-06,-3.4349538e-05,-1.0428248e-05,-1.1223534e-05,-1.7031603e-05,-1.3696664e-05,2.005539e-05,-9.433548e-06
